city_code,total_credit,total_debit,regular_charges,penalty_charges,total_amount_payed_online,total_td_accounts_amount,total_loan_accounts_amount,total_td_account_count,total_loan_account_count,customer_goodness,age,customer_name
8,84685,30584,209,114,3318,23357,7991,4,2,45,40,Silly Yak 811
10,22705,20175,403,135,35574,22244,34991,4,1,48,21,Delightful Zebra 770
3,49298,27332,245,23,3760,25091,7888,2,1,32,30,Fancy Artist 552
4,73322,26631,100,110,23068,8323,26628,1,1,59,30,Noble Koala 22
2,78633,3709,428,60,41651,1107,37266,1,2,83,50,Delightful Horse 781
10,40776,9388,306,114,21741,18969,24334,4,1,50,21,Quiet Lion 312
4,50446,27506,46,54,35201,20868,27767,2,1,53,21,Delightful Bear 172
6,3928,2653,356,21,13175,16359,32098,1,1,39,30,Lively Artist 628
5,35059,40602,450,25,9033,4600,29416,4,1,37,40,Calm Wolf 931
4,26896,19921,140,27,25953,8775,12801,2,1,40,56,Rational Tiger 808
3,39617,4243,159,160,16941,3820,23424,4,1,53,40,Zealous Xerus 695
7,30788,42147,150,114,1299,10721,27283,4,1,29,21,Rational Bear 929
1,16814,3895,380,114,40592,5978,41406,2,1,59,50,Inventive Narwhal 228
10,94231,8842,460,51,12765,14983,48845,3,2,77,40,Noble Artist 412
9,43499,38450,29,165,45549,10983,44314,4,1,58,40,Brave Unicorn 815
1,64142,46716,63,63,29967,5143,15288,3,1,48,21,Thoughtful Tiger 450
9,92749,2212,85,65,34268,11052,36413,3,2,83,30,Unique Narwhal 809
5,57675,3495,190,8,10756,26542,5550,1,1,46,21,Zealous Koala 419
4,13573,24390,149,83,36177,8240,33031,3,1,45,40,Happy Quokka 602
7,79070,21284,273,83,9271,12126,44537,3,1,64,40,Eager Yak 327
9,77692,48189,60,99,17421,5598,7377,1,2,44,50,Zealous Narwhal 424
5,41056,22648,422,54,20726,24001,37231,3,2,49,40,Xenial Squirrel 20
3,54400,35660,327,32,24009,18823,10683,1,2,41,50,Eager Bear 945
5,43064,17845,489,91,40393,616,9394,2,2,53,40,Gentle Falcon 398
6,23200,9621,409,64,49354,13742,35059,2,1,59,30,Energetic Dragon 869
8,76529,34634,62,75,39634,29321,27163,3,1,59,40,Noble Squirrel 745
3,74699,23036,213,47,47110,27585,11737,2,1,60,50,Energetic Eagle 712
4,65059,28678,181,60,38014,28774,46511,1,1,64,50,Youthful Artist 204
2,46108,40330,141,77,2439,27905,22906,4,2,31,50,Eager Narwhal 844
10,47016,17995,39,133,22297,19024,4399,2,2,42,40,Quiet Zebra 301
7,30546,24880,20,129,25482,10179,6098,1,1,37,50,Thoughtful Zebra 427
2,27307,25589,205,185,1904,23536,3251,2,2,23,56,Eager Giraffe 203
7,85048,3880,109,198,14252,625,7302,3,2,63,30,Quiet Koala 776
6,86078,34532,338,197,21816,13944,7664,2,2,52,40,Gentle Squirrel 752
1,2519,22472,297,186,3151,26839,1846,4,1,14,50,Quiet Quokka 247
8,72241,30159,330,118,13948,8455,23747,1,1,53,30,Thoughtful Iguana 935
8,33662,44404,83,27,14514,2733,9317,2,1,30,40,Eager Lion 225
6,92015,13480,283,41,42826,3558,49956,1,1,88,30,Optimistic Bear 194
10,24970,33848,79,196,23888,13039,8350,2,2,31,56,Eager Unicorn 983
2,34205,28100,172,66,8933,23000,25813,1,2,35,40,Silly Falcon 459
1,74986,27283,51,68,15896,14883,33303,4,2,58,50,Inventive Lion 86
4,8336,46856,305,106,7235,15268,35720,4,1,24,21,Thoughtful Wolf 673
10,71096,18275,376,1,2357,17097,18404,4,2,49,50,Rational Narwhal 877
9,67793,3882,497,110,14964,11329,28234,2,1,63,40,Energetic Xerus 334
4,31098,17443,56,30,32203,9899,28457,2,1,51,50,Fancy Horse 120
3,71564,804,396,89,32451,3692,45175,1,1,80,21,Calm Giraffe 96
2,90390,41220,297,17,12669,20388,6568,1,1,46,21,Inventive Giraffe 344
2,80590,49452,34,37,13465,6469,26925,3,2,51,21,Eager Dragon 387
9,52266,40733,121,75,35900,9019,16443,4,1,47,50,Noble Panda 311
7,14112,39794,202,105,11982,28441,19758,2,1,21,40,Rational Giraffe 837
2,89342,32439,63,126,14168,17376,10238,1,2,52,50,Brave Koala 589
1,49482,28988,413,193,3740,25484,27848,4,2,39,21,Xenial Iguana 86
1,41380,28606,307,21,31206,13704,42081,3,2,54,56,Quiet Dragon 535
4,55228,20564,324,21,5266,19163,5694,2,1,38,21,Optimistic Monkey 933
9,22141,9078,420,0,41980,11414,7561,3,1,46,21,Gentle Owl 637
7,34283,32816,186,56,17938,24426,42550,2,1,43,40,Kind Lion 920
3,73815,1746,11,160,48395,1514,25004,1,1,79,50,Zealous Dragon 40
9,56784,11972,313,134,23917,23670,25180,1,1,55,40,Witty Cheetah 608
2,76466,710,463,164,39471,25197,48272,4,1,81,50,Silly Iguana 51
9,76434,25209,391,197,44493,24790,16301,2,2,62,21,Delightful Quokka 140
3,75604,18144,307,186,6494,24954,12639,3,1,48,21,Rational Wolf 128
10,15275,21642,148,140,25530,27472,32285,3,1,38,21,Merry Vulture 278
8,65370,28880,150,5,24061,15943,39973,4,2,59,50,Proud Quokka 424
9,48538,4264,384,13,11317,20290,14083,1,2,47,21,Inventive Eagle 99
10,7147,13508,292,198,9135,10445,36106,3,2,38,40,Brave Cheetah 57
1,83670,11886,64,84,25072,15184,49242,1,1,76,40,Optimistic Eagle 650
2,22752,44373,315,162,9844,10033,7371,4,2,22,21,Kind Koala 355
2,2281,37191,235,108,26393,18550,5707,4,1,20,56,Lively Lion 460
2,64700,9702,387,187,5306,12619,14871,2,2,51,50,Kind Jaguar 584
3,18038,41998,162,147,376,11338,48827,1,2,32,56,Vibrant Owl 919
9,7109,24890,261,116,24176,1453,2782,3,1,29,21,Noble Wolf 783
8,93443,40717,466,81,592,14837,33115,4,1,54,56,Fancy Giraffe 449
7,15699,36713,293,94,41175,6719,34852,1,1,44,50,Rational Iguana 874
2,52485,18402,450,5,36298,7852,4256,2,1,52,50,Jolly Iguana 976
9,37363,30287,262,42,10551,3883,36777,3,2,45,56,Thoughtful Xerus 538
2,5429,30177,364,193,13905,10204,16580,3,1,25,30,Calm Yak 242
8,32121,46043,497,79,5200,11498,48153,3,2,38,50,Delightful Bear 601
5,35697,5260,144,19,39431,23971,43516,3,2,62,21,Eager Narwhal 825
9,49850,42057,144,79,12495,1034,47325,2,1,50,21,Jolly Artist 236
9,70967,19985,377,25,21409,6811,43805,2,2,67,21,Unique Squirrel 348
5,99998,7460,287,173,30088,18078,24151,1,2,76,30,Vibrant Rabbit 896
1,52339,14664,285,176,40308,17153,17364,4,1,57,21,Delightful Cheetah 419
8,94333,9127,35,181,24516,8040,28490,1,2,75,56,Youthful Zebra 714
10,53218,4916,327,4,36493,28350,43702,3,1,67,30,Merry Jaguar 468
3,59775,13447,143,167,45721,1685,37247,4,1,73,50,Happy Tiger 793
1,14768,22515,304,76,23366,12491,4785,3,2,30,30,Energetic Owl 904
7,57512,35795,68,35,49972,6252,18238,1,1,57,21,Xenial Zebra 276
9,26796,47667,60,47,10736,22552,10874,2,1,21,21,Inventive Unicorn 78
6,28131,9812,287,94,16543,29483,15498,2,2,38,56,Delightful Cheetah 125
8,43954,4985,171,58,42505,28120,38748,1,1,64,50,Vibrant Unicorn 818
10,65720,20095,296,174,21505,12027,31325,1,1,59,50,Quiet Rabbit 320
4,62116,36949,158,25,12287,13968,18753,4,1,43,30,Delightful Lion 991
6,31321,41359,349,115,11984,5711,31296,3,1,37,21,Lively Falcon 511
1,3846,10492,276,64,25363,21201,43560,3,2,44,21,Jolly Monkey 576
4,25161,16952,303,23,32805,10554,14139,1,1,44,30,Xenial Giraffe 817
1,45830,4907,131,44,2505,23434,24021,3,2,45,40,Vibrant Narwhal 119
9,91042,18741,386,123,49472,23702,29474,3,1,76,21,Zealous Giraffe 783
5,61426,16586,98,160,5235,13079,10124,3,2,45,50,Unique Monkey 282
9,87873,27987,394,121,14692,21302,17837,2,2,55,30,Merry Unicorn 185
4,59809,35240,366,115,45529,18187,39744,4,1,62,30,Inventive Falcon 596
1,44874,22690,35,91,8558,21417,46876,4,2,49,56,Silly Rabbit 178
10,33530,565,417,97,1222,22756,32030,2,2,45,21,Brave Tiger 241
7,97039,37029,121,62,42890,1672,11725,2,2,68,21,Eager Vulture 486
4,48347,10474,344,110,26459,15852,44454,4,1,62,50,Proud Jaguar 207
4,36565,32734,102,130,48639,22783,29661,2,1,51,40,Delightful Owl 911
1,90865,44591,256,101,14358,15529,34598,1,2,57,50,Youthful Unicorn 81
7,81375,20751,79,30,27206,13019,11180,1,2,59,40,Quiet Tiger 513
6,59285,2028,95,158,1806,17445,2047,1,1,44,56,Merry Lion 140
3,57040,46648,488,165,2335,3026,18861,1,2,37,50,Fancy Falcon 838
6,50238,14985,436,168,22241,26806,9561,2,2,44,50,Eager Jaguar 114
2,10535,36562,369,55,5174,1438,23422,4,2,26,21,Eager Horse 855
2,69062,17449,400,154,32715,9509,30911,4,2,66,50,Fancy Bear 712
9,38178,42160,369,141,37573,1437,15768,4,2,44,21,Thoughtful Yak 172
10,2685,32777,41,69,28249,12425,11391,2,1,26,56,Quiet Monkey 926
5,72880,15004,347,163,39687,6362,7003,3,2,63,40,Eager Iguana 809
1,13801,7259,402,122,49507,1899,34006,2,1,59,50,Proud Vulture 378
10,79994,8586,243,130,15718,2490,21391,4,2,65,56,Rational Lion 563
9,26697,38996,417,69,9605,14329,32977,2,2,34,21,Gentle Jaguar 965
5,59054,5514,325,46,16953,22482,49930,1,2,65,40,Rational Horse 89
8,57407,7716,374,174,21163,9446,18165,2,1,56,50,Happy Koala 739
6,18510,29769,266,40,12677,4594,29304,2,1,36,50,Calm Quokka 932
8,44465,6762,464,103,35892,20137,34124,1,1,61,30,Quiet Horse 24
5,82085,3144,328,4,43491,27309,20330,1,1,73,50,Calm Dragon 575
4,97226,10104,376,55,30710,28324,25803,3,1,73,56,Thoughtful Eagle 628
2,2798,14935,131,2,37012,28605,33390,1,2,41,50,Zealous Giraffe 155
10,15519,20369,360,11,22666,3997,9588,4,1,35,50,Silly Lion 599
2,62127,34877,358,69,11366,25086,19955,2,2,42,30,Silly Bear 408
9,1249,38021,94,110,25001,1106,41647,2,2,36,30,Lively Giraffe 644
1,76041,31545,61,159,48841,26178,8312,1,2,57,30,Inventive Monkey 912
7,58718,26281,113,161,14556,3839,12990,2,2,47,50,Delightful Unicorn 682
6,67614,3695,348,12,35354,15208,13069,3,2,64,40,Zealous Tiger 975
7,62800,23050,114,194,6251,26630,25932,4,2,46,40,Noble Artist 368
1,60302,5756,163,151,248,12363,43375,3,2,59,56,Fancy Vulture 394
5,11139,41667,379,197,46996,25033,23441,1,1,35,50,Rational Tiger 881
7,24287,14982,406,16,8518,25229,20415,2,2,34,30,Youthful Wolf 758
5,46928,20482,419,17,24360,15507,43783,3,1,57,40,Xenial Squirrel 287
2,34105,3387,403,101,11986,12717,40527,3,1,54,50,Calm Dragon 446
1,78523,21397,74,80,19810,24377,23923,4,2,57,30,Happy Tiger 462
10,67852,32421,415,193,21329,13945,45987,4,2,61,56,Thoughtful Dragon 110
5,31836,25097,81,61,21932,17393,30445,4,2,44,40,Vibrant Lion 184
4,95158,41252,126,71,3538,8969,20818,4,1,53,40,Merry Wolf 21
10,64780,20178,398,3,37903,8866,37886,4,1,68,21,Jolly Iguana 198
9,84816,47490,172,183,41480,19535,43023,2,2,66,30,Merry Zebra 431
4,90554,41484,401,148,44809,21820,47761,4,2,73,21,Thoughtful Dragon 442
8,20566,39463,319,48,24924,18454,25896,1,2,33,56,Brave Artist 260
8,40375,8094,264,93,299,26058,12267,1,2,36,21,Energetic Giraffe 4
4,7036,12403,283,25,4315,25656,6850,4,2,22,50,Jolly Giraffe 96
3,15634,17808,348,28,22506,8346,30626,3,1,43,40,Witty Monkey 743
5,59159,9436,491,137,46514,29515,49162,1,2,73,21,Lively Rabbit 518
8,52196,4199,483,84,45751,25286,29763,2,2,66,21,Noble Yak 393
8,44315,1779,87,118,28238,13862,28922,1,1,59,30,Proud Xerus 313
10,71979,20921,373,3,3420,17815,44138,1,1,58,30,Unique Zebra 791
7,27325,2373,447,91,21462,9133,26742,2,1,51,21,Youthful Iguana 562
10,42030,9158,469,49,139,7141,4638,1,2,38,50,Unique Zebra 552
8,93883,46101,485,118,44383,28162,28733,3,1,64,21,Gentle Xerus 408
10,57142,25178,388,51,10246,6457,13655,4,2,45,50,Unique Zebra 879
2,68462,5616,223,12,44057,3891,43407,1,1,81,21,Eager Owl 510
1,74804,44383,352,48,5330,24913,13653,2,2,38,56,Eager Quokka 13
2,45225,9691,365,4,47632,17189,20911,1,2,60,56,Xenial Eagle 45
10,43650,25003,186,37,34776,29165,47240,3,1,56,21,Kind Tiger 440
9,47550,42222,332,143,17243,4114,44237,4,2,49,30,Gentle Vulture 920
10,86340,49406,359,171,39466,6857,35771,4,2,66,50,Proud Koala 669
9,36998,6761,110,158,41554,26544,33492,4,1,59,56,Happy Xerus 678
2,88643,35070,277,42,35139,14850,40175,3,1,70,50,Energetic Artist 411
8,5051,4315,426,130,30181,28238,43374,2,2,47,40,Fancy Iguana 514
5,26031,29244,336,25,49891,5938,31433,4,2,53,30,Zealous Owl 581
2,89841,38669,388,35,30230,20864,47605,3,1,69,30,Witty Horse 630
9,93344,17207,459,133,15498,11916,22173,1,1,65,40,Lively Panda 532
1,21560,30538,15,89,24974,27898,47209,4,2,43,30,Unique Zebra 129
3,22499,16515,123,92,4058,14021,13814,3,1,31,56,Eager Falcon 432
7,75670,15876,121,66,26604,24683,12463,1,1,57,40,Proud Yak 442
5,36785,16956,383,69,4601,26094,26186,1,2,39,56,Unique Falcon 24
6,21360,32606,412,90,37626,12047,5421,2,2,35,56,Energetic Quokka 237
7,23496,31087,281,174,11232,6594,20886,1,1,33,40,Vibrant Panda 70
1,31114,45684,87,30,15247,23514,49611,4,1,39,50,Quiet Vulture 617
7,83466,41060,158,106,36358,18299,21348,1,2,59,50,Lively Dragon 159
10,46181,29251,214,1,47585,26545,22013,1,1,52,30,Energetic Giraffe 429
5,13582,30996,441,141,31471,3506,42505,4,1,46,40,Vibrant Yak 179
8,37782,27851,306,165,29707,4415,36944,1,2,53,56,Youthful Dragon 641
2,32994,34045,309,167,42486,21675,7864,2,2,39,50,Lively Panda 184
9,8534,21512,91,139,43460,27023,13590,4,2,36,50,Kind Eagle 285
6,82506,48267,488,59,25770,14245,47231,4,1,62,30,Calm Cheetah 347
9,73404,1111,161,17,28701,27343,23785,2,2,66,30,Lively Owl 406
6,44121,8084,397,59,28222,28348,32535,1,1,55,30,Quiet Squirrel 646
6,70453,9745,141,171,20436,6728,13536,3,1,59,30,Happy Iguana 901
1,34532,7804,397,46,36384,16472,48033,2,2,63,40,Merry Cheetah 613
8,93648,29770,318,141,10296,21963,32830,3,2,60,21,Jolly Jaguar 543
9,50577,1421,135,80,24444,20604,3691,3,2,50,50,Energetic Panda 69
6,12009,5548,442,22,1194,20900,9451,2,1,27,30,Rational Cheetah 449
1,48043,6861,290,38,39873,12010,27192,4,2,63,56,Happy Eagle 285
8,36653,40401,353,159,15037,12178,45461,4,1,44,50,Silly Panda 648
9,4376,42208,231,192,27483,24775,28620,4,2,27,30,Happy Jaguar 685
7,35621,33215,497,107,47843,15517,36672,3,2,54,30,Gentle Giraffe 311
1,97658,19923,350,134,2292,27012,18946,2,1,56,40,Merry Jaguar 42
1,26705,37227,160,108,4659,4324,27682,2,2,33,21,Merry Artist 113
10,72676,42594,95,46,42542,27088,35596,4,1,60,21,Noble Cheetah 228
5,16260,18916,16,170,30332,24392,32189,2,2,42,40,Unique Squirrel 823
6,17763,33871,51,174,22028,26742,28556,4,1,32,56,Brave Quokka 438
5,30353,34836,52,53,8803,16116,11993,4,1,28,21,Inventive Yak 336
2,2447,19302,115,87,45859,26944,24337,3,1,39,56,Zealous Dragon 428
4,48881,2262,445,4,45006,17147,41563,4,1,71,50,Jolly Eagle 188
5,97013,24388,306,97,9586,11218,22049,2,2,62,50,Inventive Eagle 734
7,28872,19444,74,185,22251,10785,23201,2,1,43,21,Proud Monkey 15
10,67313,45574,190,20,45178,10278,25183,1,1,57,21,Brave Quokka 111
10,84584,4136,68,44,5505,9575,6573,4,1,58,50,Lively Yak 565
1,94006,49266,260,153,34125,19495,22017,4,2,59,50,Fancy Zebra 187
5,3507,34652,106,31,41157,25962,48539,3,2,41,21,Jolly Lion 639
2,84667,45686,489,156,4625,16760,22673,3,1,46,50,Youthful Vulture 243
2,9059,11078,256,119,20404,8209,30095,4,1,42,21,Quiet Falcon 591
2,32025,33166,155,133,18818,10314,35319,4,1,43,40,Brave Squirrel 531
10,74523,9981,372,106,29366,15627,3928,3,2,58,30,Merry Squirrel 496
7,37456,38083,67,125,10291,26081,34278,2,1,36,21,Proud Xerus 852
7,6595,1934,405,94,24108,10563,10681,1,2,38,56,Eager Artist 943
2,74581,21297,129,134,29971,23629,6260,3,2,53,21,Thoughtful Panda 730
4,56120,15418,79,174,49376,16444,15790,2,1,61,50,Youthful Horse 776
4,47061,38790,98,21,11533,14278,37819,4,1,44,56,Merry Narwhal 332
7,41942,45927,296,38,14965,1497,10269,1,1,33,56,Unique Yak 705
5,63187,1640,441,15,11118,8204,2004,3,1,51,30,Proud Dragon 813
5,91788,42057,234,115,35436,21151,28968,1,1,63,21,Kind Yak 238
2,42626,8129,241,193,33332,27028,19812,4,1,52,40,Lively Lion 829
5,39374,33145,147,155,38561,5570,26213,4,2,51,56,Quiet Xerus 125
4,36765,32965,162,54,15055,7151,28957,4,2,42,56,Xenial Horse 833
6,20720,33906,497,79,32808,3131,30406,2,2,43,40,Noble Xerus 512
5,83444,34796,146,70,23253,13824,6766,3,1,52,56,Brave Rabbit 79
1,23786,46127,469,25,36713,13272,11821,3,2,32,50,Unique Lion 50
2,55887,15943,168,180,43511,13554,48849,1,1,72,40,Noble Jaguar 331
2,78353,22137,365,71,42086,18851,27083,2,2,68,50,Youthful Eagle 672
2,3554,30778,136,156,18418,28501,19612,4,1,23,21,Happy Yak 569
8,50848,25150,146,130,19060,23968,14996,3,2,42,21,Vibrant Eagle 167
9,40820,22044,464,107,16041,3987,23480,2,2,46,21,Xenial Yak 97
3,8206,44782,401,4,10159,24469,5951,4,1,12,50,Optimistic Xerus 199
6,82054,40260,439,68,3514,2084,17730,2,1,49,56,Delightful Owl 581
3,40896,25708,316,103,35263,2317,24347,2,2,53,56,Delightful Wolf 168
4,37898,16153,212,17,42178,17867,9144,1,2,49,40,Delightful Panda 174
1,67668,36899,417,38,39868,3759,12480,2,2,56,40,Rational Monkey 195
8,44904,42457,41,7,15791,25257,42043,4,2,42,56,Energetic Artist 102
4,37836,15744,26,65,3275,14073,17569,1,2,38,30,Merry Giraffe 503
10,56682,46274,349,112,47426,18586,39077,4,1,57,50,Rational Panda 981
5,36762,21462,54,150,42329,11903,23940,1,2,53,50,Youthful Unicorn 986
2,75610,16396,26,114,38609,28022,16363,2,2,62,50,Rational Giraffe 73
7,76070,30888,420,20,36575,16901,45145,2,1,69,30,Happy Narwhal 224
5,75749,7483,135,69,39670,856,38156,4,1,80,40,Eager Dragon 185
7,79244,45606,312,169,27844,1130,2991,1,2,49,40,Brave Cheetah 335
2,54804,39671,499,46,23263,18968,34534,2,2,48,50,Gentle Wolf 877
9,82187,6489,139,141,29663,16366,6815,4,2,63,40,Rational Monkey 100
2,27580,45887,450,58,31127,9006,42983,2,1,44,50,Quiet Dragon 463
1,91525,43891,215,100,6379,18761,44691,4,1,58,56,Delightful Rabbit 594
3,40802,31620,383,87,44603,4469,27440,1,2,55,56,Vibrant Cheetah 407
2,53491,46751,453,162,1711,7296,49795,1,1,46,40,Silly Koala 884
9,17458,38789,83,27,35471,22470,27004,1,1,36,30,Witty Eagle 781
6,4469,34633,454,144,33448,26336,31146,4,2,32,40,Unique Artist 824
10,10084,44084,215,63,6998,6550,33901,2,2,27,21,Kind Koala 945
6,1216,15138,423,90,33891,20367,46617,4,2,46,50,Optimistic Falcon 521
9,77292,15143,186,7,9705,9273,15044,4,1,56,21,Zealous Narwhal 690
9,76204,4528,435,84,40071,9768,9672,4,2,69,40,Vibrant Zebra 158
2,42259,38562,350,1,45490,15383,43089,1,1,56,56,Fancy Bear 482
6,61255,44338,440,127,48898,5724,32864,2,2,61,50,Witty Squirrel 455
1,15854,34872,91,30,48217,20966,43856,4,2,48,40,Xenial Eagle 876
6,84610,43259,484,186,31591,13462,29956,4,2,61,30,Inventive Lion 430
1,62486,43499,114,126,45386,8835,36053,2,1,61,40,Inventive Iguana 876
4,35884,23025,122,140,49700,7101,44663,2,1,64,30,Zealous Lion 788
7,85773,36043,120,61,24256,1210,4615,4,1,54,56,Lively Lion 316
6,71352,19159,232,36,23119,26090,9996,4,2,51,30,Silly Horse 176
1,42409,14556,447,1,29723,20505,5102,2,1,44,21,Rational Narwhal 298
6,36949,48126,181,86,32700,10297,23980,2,1,40,21,Energetic Narwhal 574
5,20950,21390,97,197,15551,12884,41983,1,2,44,21,Jolly Eagle 762
3,18304,43017,31,24,31581,20846,39112,2,1,38,21,Youthful Monkey 782
9,45697,30336,446,138,42134,21974,4569,1,1,44,21,Zealous Wolf 36
6,37628,17703,420,59,4247,20276,37257,4,1,44,30,Thoughtful Iguana 328
4,7077,19219,95,115,7317,13871,16269,1,1,27,21,Inventive Panda 450
